id,Player,Team,Position,Age,Games,Points,Rebounds,Assists,Steals,Blocks,Win Shares,Minutes Played,Player Efficiency Rating,Games Started,Field Goal %,Free Throw %,Turnovers
283,John Konchar,MEM,SG,28,46,2.4,3.3,0.9,0.7,0.3,1.5,12.1,12.1,4,0.451,0.875,0.3
284,Luke Kornet,BOS,C,29,73,6,5.3,1.6,0.5,1,7,18.6,19.6,16,0.668,0.691,0.4
285,Vit Krejci,ATL,PG,24,57,7.2,2.7,2.6,0.6,0.5,2.6,20.2,12.7,16,0.497,0.711,0.9
286,Jonathan Kuminga,GSW,PF,22,47,15.3,4.6,2.2,0.8,0.4,1.9,24.3,15.7,10,0.454,0.668,1.5
287,Kyle Kuzma,2TM,PF,29,65,14.8,5.7,2.3,0.6,0.3,-0.9,29.8,10.6,62,0.436,0.634,2.2
288,Skal Labissière,SAC,PF,28,4,1.3,0.8,0.3,0,0,0,3,15.9,0,0.5,,0
289,Jock Landale,HOU,C,29,42,4.8,3.3,0.9,0.3,0.2,1.7,11.9,16,3,0.533,0.675,0.5
290,Jake LaRavia,2TM,PF,23,66,6.9,3.9,2.4,0.9,0.3,2.9,20.4,12.6,0,0.475,0.678,1.3
291,Pelle Larsson,MIA,SG,23,55,4.6,1.7,1.2,0.6,0.1,1.4,14.2,10.2,8,0.438,0.672,0.4
292,Zach LaVine,2TM,SF,29,74,23.3,4.3,4.2,0.8,0.2,5.1,35.2,17.3,74,0.511,0.825,2.8
293,A.J. Lawson,TOR,SG,24,26,9.1,3.3,1.2,0.5,0.2,0.8,18.7,12.7,2,0.421,0.683,0.6
294,Damion Lee,PHO,SG,32,25,3.3,0.8,0.4,0.2,0,-0.1,5.8,11.9,0,0.365,0.952,0.4
295,Alex Len,2TM,C,31,46,1.6,2.1,0.8,0.2,0.5,0.7,8.3,10.6,7,0.508,0.471,0.4
296,Kawhi Leonard,LAC,SF,33,37,21.5,5.9,3.1,1.6,0.5,3.5,31.9,20.5,37,0.498,0.81,1.9
297,Malevy Leons,OKC,SF,25,6,0.3,0.5,0.2,0,0,0,3.5,-2.3,0,0,0.5,0.2
298,Caris LeVert,2TM,SG,30,64,12.1,3.2,3.4,0.9,0.5,4,24.9,15.2,3,0.467,0.71,1.2
299,Maxwell Lewis,2TM,SF,22,28,4.1,2,0.7,0.3,0.3,0.2,11.7,9.9,1,0.417,0.7,0.5
300,E.J. Liddell,CHI,PF,24,12,1.8,0.8,0.3,0.1,0.1,0.1,4.4,11.1,0,0.533,1,0.2
301,Damian Lillard,MIL,PG,34,58,24.9,4.7,7.1,1.2,0.2,7.6,36.1,21.3,58,0.448,0.921,2.8
302,Dereck Lively II,DAL,C,20,36,8.7,7.5,2.4,0.6,1.6,3.4,23.1,20.1,29,0.702,0.63,1.1
303,Chris Livingston,MIL,SF,21,21,1.4,1.7,0.2,0.2,0,0.1,5,9.8,1,0.333,0.75,0.3
304,Kevon Looney,GSW,C,28,76,4.5,6.1,1.6,0.6,0.5,4.3,15,17,6,0.514,0.566,0.5
305,Brook Lopez,MIL,C,36,80,13,5,1.8,0.6,1.9,6.6,31.8,14.8,80,0.509,0.826,1.1
306,Kevin Love,MIA,PF,36,23,5.3,4.1,1,0.7,0.2,0.4,10.9,16.2,9,0.357,0.696,0.6
307,Kyle Lowry,PHI,PG,38,35,3.9,1.9,2.7,0.9,0.3,1,18.8,9.8,12,0.35,0.818,0.6
308,Trey Lyles,SAC,PF,29,69,6.5,4.6,1.2,0.6,0.3,2.6,19.6,12.3,5,0.42,0.7,0.6
309,Sandro Mamukelashvili,SAS,PF,25,61,6.3,3.1,0.8,0.4,0.3,2.2,11.2,19.7,0,0.502,0.741,0.4
310,Terance Mann,2TM,SG,28,67,7.7,3,1.8,0.7,0.2,3,21.1,12,13,0.496,0.691,0.7
311,Tre Mann,CHO,PG,23,13,14.1,2.9,3,0.5,0.3,0.1,24.5,13.3,0,0.435,0.905,1.9
312,Lauri Markkanen,UTA,PF,27,47,19,5.9,1.5,0.7,0.4,2.2,31.4,15.6,47,0.423,0.876,1.4
313,Naji Marshall,DAL,SF,27,69,13.2,4.8,3,1,0.2,3.5,27.8,15.1,31,0.508,0.813,1.6
314,Caleb Martin,2TM,SF,29,45,7.9,3.9,2.1,1,0.5,0.6,27.1,9.6,24,0.424,0.622,1.2
315,Cody Martin,2TM,SF,29,53,6.8,4.2,2,1.1,0.6,1.3,22.1,11.3,8,0.418,0.705,1
316,Jaylen Martin,2TM,SF,21,16,4.9,2.8,1.1,0.6,0,0,14.9,9.1,0,0.419,0.9,0.8
317,KJ Martin,2TM,PF,24,43,6.4,2.9,1.1,0.4,0.5,1.3,21.2,10.2,16,0.552,0.787,0.6
318,Tyrese Martin,BRK,SG,25,60,8.7,3.7,2,0.6,0.2,0.9,21.9,10.9,11,0.406,0.793,1.2
319,Garrison Mathews,ATL,SG,28,47,7.5,1.9,1.3,0.6,0.3,1.5,17.7,11.2,2,0.397,0.821,0.7
320,Bennedict Mathurin,IND,SF,22,72,16.1,5.3,1.9,0.7,0.3,3,29.8,13.6,49,0.458,0.831,1.9
321,Karlo Matković,NOP,PF,23,42,7.7,5,1.1,0.5,1,1.6,18.8,15.6,7,0.574,0.773,1
322,Tyrese Maxey,PHI,PG,24,52,26.3,3.3,6.1,1.8,0.4,3.8,37.7,19.5,52,0.437,0.879,2.4
323,Miles McBride,NYK,PG,24,64,9.5,2.5,2.9,1,0.3,3.2,24.9,12.6,10,0.406,0.813,0.6
324,Jared McCain,PHI,SG,20,23,15.3,2.4,2.6,0.7,0,0.7,25.7,15.2,8,0.46,0.875,1.6
325,Mac McClung,ORL,SG,26,2,0,0.5,1.5,0,0,0,5,-0.3,0,0,,0
326,CJ McCollum,NOP,PG,33,56,21.1,3.8,4.1,0.8,0.4,1.5,32.7,15.8,56,0.444,0.717,1.9
327,T.J. McConnell,IND,PG,32,79,9.1,2.4,4.4,1.1,0.3,3.2,17.9,18.4,1,0.519,0.74,1.4
328,Kevin McCullar Jr.,NYK,SF,23,4,1.5,2,0.5,0.3,0.3,0,7.3,6.7,0,0.286,1,0
329,Jaden McDaniels,MIN,PF,24,82,12.2,5.7,2,1.3,0.9,6.3,31.9,13.3,82,0.477,0.813,1.2
330,Jalen McDaniels,WAS,SF,27,4,0,0,0.3,0.3,0,0,1.8,10.9,0,,,0
331,Doug McDermott,SAC,SF,33,42,3.5,0.5,0.2,0.1,0,0.4,8.1,9.5,3,0.427,0.6,0.1
